Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime
300;105;4;0.000020;94.3333;55.6667;69.4611;30.5389;69.5238;68.0000;100.0000;951.948040;107.500000;844.200000;0.248040;155.516239
300;105;4;0.000022;94.3333;60.0000;67.2222;32.7778;70.4762;69.0000;100.0000;862.051150;107.500000;754.300000;0.251150;156.751973
300;105;4;0.000020;94.3333;57.6667;73.9884;26.0116;73.3333;72.0000;100.0000;914.551970;107.500000;806.800000;0.251970;146.933688
300;105;4;0.000020;94.3333;54.6667;69.5122;30.4878;68.5714;67.0000;100.0000;964.246360;107.500000;856.500000;0.246360;154.402504
300;105;4;0.000019;94.3333;55.3333;69.8795;30.1205;69.5238;68.0000;100.0000;960.847750;107.500000;853.100000;0.247750;153.902189
300;105;4;0.000020;94.3333;55.6667;69.4611;30.5389;70.4762;69.0000;100.0000;953.948100;107.500000;846.200000;0.248100;154.922884
300;105;4;0.000020;94.3333;55.6667;71.8563;28.1437;68.5714;67.0000;100.0000;943.946450;107.500000;836.200000;0.246450;148.134780
300;105;4;0.000020;94.3333;58.0000;70.1149;29.8851;71.4286;70.0000;100.0000;898.049580;107.500000;790.300000;0.249580;154.877383
300;105;4;0.000020;94.3333;57.6667;69.3642;30.6358;71.4286;70.0000;100.0000;888.949270;107.500000;781.200000;0.249270;156.251756
300;105;4;0.000020;94.3333;58.3333;70.8571;29.1429;68.5714;67.0000;100.0000;876.147830;107.500000;768.400000;0.247830;153.107940
300;105;4;0.000020;94.3333;51.3333;68.8312;31.1688;62.8571;61.0000;100.0000;1010.837780;107.500000;903.100000;0.237780;156.799439
300;105;4;0.000019;94.3333;53.6667;70.8075;29.1925;68.5714;67.0000;100.0000;974.345920;107.500000;866.600000;0.245920;153.484257
300;105;4;0.000020;94.3333;55.0000;66.6667;33.3333;68.5714;67.0000;100.0000;970.145620;107.500000;862.400000;0.245620;156.351771
300;105;4;0.000020;94.3333;54.3333;71.1656;28.8344;62.8571;61.0000;100.0000;971.738990;107.500000;864.000000;0.238990;152.001279
300;105;4;0.000019;94.3333;52.0000;68.5897;31.4103;65.7143;64.0000;100.0000;1017.842500;107.500000;910.100000;0.242500;153.502368
300;105;4;0.000019;94.3333;54.6667;73.7805;26.2195;67.6190;66.0000;100.0000;966.045270;107.500000;858.300000;0.245270;146.287918
300;105;4;0.000019;94.3333;55.0000;73.9394;26.0606;70.4762;69.0000;100.0000;970.749240;107.500000;863.000000;0.249240;147.038720
300;105;4;0.000019;94.3333;53.0000;72.9560;27.0440;72.3810;71.0000;100.0000;997.151370;107.500000;889.400000;0.251370;149.905740
300;105;4;0.000020;94.3333;54.3333;71.7791;28.2209;71.4286;70.0000;100.0000;957.549610;107.500000;849.800000;0.249610;151.815812
300;105;4;0.000020;94.3333;56.0000;68.4524;31.5476;65.7143;64.0000;100.0000;917.243050;107.500000;809.500000;0.243050;156.189690
300;105;4;0.000020;94.3333;56.0000;69.6429;30.3571;74.2857;73.0000;100.0000;939.452580;107.500000;831.700000;0.252580;152.914808
300;105;4;0.000020;94.3333;59.0000;68.3616;31.6384;68.5714;67.0000;100.0000;869.946840;107.500000;762.200000;0.246840;158.086553
300;105;4;0.000020;94.3333;55.6667;71.8563;28.1437;69.5238;68.0000;100.0000;944.546810;107.500000;836.800000;0.246810;149.744807
300;105;4;0.000019;94.3333;54.0000;73.4568;26.5432;74.2857;73.0000;100.0000;968.053440;107.500000;860.300000;0.253440;146.965622
300;105;4;0.000030;94.3333;55.6667;72.4551;27.5449;68.5714;67.0000;100.0000;962.544350;107.500000;854.800000;0.244350;148.454256
300;105;4;0.000020;94.3333;54.3333;74.2331;25.7669;68.5714;67.0000;100.0000;965.147540;107.500000;857.400000;0.247540;146.319117
300;105;4;0.000021;94.3333;56.6667;65.8824;34.1176;64.7619;63.0000;100.0000;919.441200;107.500000;811.700000;0.241200;159.666460
300;105;4;0.000020;94.3333;53.3333;68.1250;31.8750;67.6190;66.0000;100.0000;988.243980;107.500000;880.500000;0.243980;155.332777
300;105;4;0.000021;94.3333;56.6667;68.2353;31.7647;72.3810;71.0000;100.0000;919.049040;107.500000;811.300000;0.249040;156.888778
300;105;4;0.000020;94.3333;57.0000;73.0994;26.9006;70.4762;69.0000;100.0000;929.146850;107.500000;821.400000;0.246850;147.906940
